longitude,latitude,name,address
14.934444,60.763056,Siljansnäs - Rastplats,Pris: 0.00 SEK - Inlagt 2005-03-12 | WC Sopor | Nära vatten
15.047722,60.818083,Tällbergsporten - Rastplats,Pris: 0.00 SEK - Inlagt 2005-12-28 | WC HCP Sopor | Lugnt och Avskilt
15.316139,60.773694,Rällsjön - Rastplats,Pris: 0.00 SEK - Inlagt 2020-08-31 | Kassettömning WC HCP Sopor | Nära vatten
15.034168,60.712515,Leksand - Rastplats,Pris: 0.00 SEK - Inlagt 2020-09-06 | Vatten Kassettömning Markbrunn WC HCP Sopor | Sevärdhet
15.290028,60.712944,Tidstrandsvägen - Parkering,Pris: Saknas |  | 
15.192839,60.151111,Sporthallen Ludvika - Parkering,Pris: Saknas | El Vatten WC Dusch | Centrumnära
15.180799,60.161017,Ställviken - Rastplats,Pris: 0.00 SEK - Inlagt 2016-07-31 | Sopor | 
14.843611,60.355278,Malingarna Lägerplats - Naturcamping,Pris: 0.00 SEK - Inlagt 2021-08-21 | TC Sopor | Badplats Fiskeplats Lugnt och Avskilt Naturnära
15.1825,60.151389,Kajvägen - Parkering,Pris: 0.00 SEK - Inlagt 2011-09-18 |  | Centrumnära
15.103889,60.101111,Dammsjön - Parkering,Pris: Saknas | WC | Nära vatten Badplats
14.271667,60.143611,Lisjön - Friplats,Pris: 0.00 SEK - Inlagt 2014-05-15 | WC | Naturnära
14.966944,60.29875,Havstjärnen - Friplats,Pris: 0.00 SEK - Inlagt 2007-11-18 |  | Badplats
14.919167,60.341694,Flogen - Naturcamping,Pris: 50.00 SEK - Inlagt 2021-06-25 | TC Sopor | Fiskeplats Naturnära
15.098428,60.101615,Klenshyttan - Parkering,Pris: 0.00 SEK - Inlagt 2020-07-12 | WC Sopor | Sevärdhet
14.864753,60.353997,Malingarna - Naturcamping,Pris: Saknas | WC | Nära vatten Badplats Fiskeplats Naturnära
14.924722,60.334722,Övre Hedtjärn - Naturcamping,Pris: 150.00 SEK - Inlagt 2024-05-22 | WC | Nära vatten Fiskeplats
15,60.21,Morhagen Fäbodshotell - Ställplats,Pris: 250.00 SEK - Inlagt 2021-05-09 | El Vatten Kassettömning Tömningsvagn WC Dusch Sopor | Nära vatten Fiskeplats Restaurang
14.975704,60.153076,Café och Dé - Ställplats,Pris: 220.00 SEK - Inlagt 2023-07-28 | El Vatten Kassettömning Tömningsvagn | Nära vatten Badplats Fiskeplats Lugnt och Avskilt Restaurang
13.333056,61.036058,Kläppen Camping - Campingplats,Pris: 300.00 SEK - Inlagt 2019-08-02 | El Vatten Kassettömning Markbrunn WC HCP Dusch WiFi Sopor Tvättstuga | Badplats Fiskeplats Restaurang Vintersportanläggning
13.719504,60.68247,Tingslundsvägen - Parkering,Pris: 0.00 SEK - Inlagt 2021-08-11 |  | 
12.935556,61.302778,Görälven - Parkering,Pris: 0.00 SEK - Inlagt 2015-08-25 | TC | Fiskeplats
